N_Surface,Avg_total,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,FCC,HCP,ICOS
12,6.4615,0,0,0,12,0,0,0,0,0,0,1
22,6.6957,0,5,0,7,0,10,0,0,0,0,0
32,7.5897,0,0,10,2,10,10,0,0,0,5,0
42,7.2558,0,0,24,0,0,6,0,0,1,0,0
42,7.8776,0,0,10,2,10,10,10,0,0,5,0
47,7.8889,0,5,0,12,0,20,10,0,0,5,0
42,7.9636,0,0,10,7,10,15,0,0,0,10,0
42,8.5091,0,0,0,12,0,30,0,0,0,0,1
48,7.7419,0,0,24,0,0,24,0,0,14,0,0
57,8.5067,0,0,0,22,10,10,10,5,5,10,0
60,8.5063,0,0,0,24,12,0,24,0,19,0,0
74,8,4,0,0,30,0,0,40,0,10,0,0
62,8.5647,0,0,10,2,20,20,10,0,5,15,0
66,8.4706,0,6,0,0,36,0,24,0,19,0,0
68,8.2759,8,0,0,24,12,0,0,24,19,0,0
78,8.3478,0,0,24,0,24,6,0,0,14,0,0
74,8.2581,8,6,0,0,36,0,0,24,19,0,0
77,8.68,0,0,10,7,10,20,30,0,5,15,0
72,8.8119,0,0,0,22,20,10,10,10,10,15,0
82,8.6286,0,5,0,8,13,40,16,0,2,11,0
77,9.0517,0,0,0,12,0,55,10,0,0,15,0
92,8.8889,0,0,0,48,0,24,8,0,43,0,0
102,8.7429,0,0,24,24,0,30,0,0,38,0,0
96,9.0857,0,0,0,24,24,0,48,0,44,0,0
98,8.8511,0,6,0,48,0,0,32,0,43,0,0
97,9.1781,0,0,0,22,20,20,30,5,20,25,0
102,9.0411,0,6,0,0,48,0,48,0,44,0,0
92,9.4694,0,0,0,12,0,60,20,0,0,30,1
102,9.1667,0,0,10,2,30,30,30,0,20,30,0
120,8.9268,0,0,24,24,24,0,0,24,44,0,0
122,9.0182,0,0,24,0,48,6,8,0,43,0,0
130,8.7273,4,0,0,42,0,0,84,0,35,0,0
126,8.8941,0,6,24,0,48,0,0,24,44,0,0
127,9.1381,0,5,0,10,16,58,38,0,14,26,0
117,9.4375,0,0,0,22,30,25,30,10,35,35,0
126,9.0309,0,6,24,0,48,0,24,24,68,0,0
128,8.9388,8,0,24,24,0,24,24,24,68,0,0
122,9.4328,0,0,0,24,36,6,56,0,79,0,0
122,9.5266,0,0,0,12,0,80,30,0,15,35,0
140,9.4933,0,0,0,24,36,0,80,0,85,0,0
146,9.5065,0,0,6,0,60,0,80,0,79,0,0
144,9.4576,0,0,0,48,24,24,24,0,92,0,0
137,9.5966,0,0,0,22,40,30,30,15,50,45,0
150,9.4215,0,6,0,48,24,0,48,0,92,0,0
152,9.3443,8,0,0,48,24,24,0,24,92,0,0
147,9.6032,0,0,0,22,30,30,60,5,50,45,0
162,9.3494,0,0,24,24,36,30,0,0,87,0,0
158,9312,8,6,0,48,24,0,24,24,92,0,0
142,9.5891,0,0,10,12,30,60,30,0,50,60,0
144,9.6,0,0,0,24,48,24,48,0,116,0,0
174,9.4737,0,0,24,0,72,6,24,0,92,0,0
180,9.4066,0,0,24,24,60,0,0,24,93,0,0
182,9.3723,8,0,24,0,72,6,0,24,92,0,0
186,9.3763,0,6,24,0,84,0,0,24,93,0,0
202,9.2308,4,0,0,54,0,0,144,0,84,0,0
182,9554,0,5,0,2,35,80,60,0,35,45,0
182,9.5034,8,0,24,24,0,54,24,24,116,0,0
178,9.64,0,8,14,23,12,40,47,16,117,0,0
162,10.0194,0,0,0,12,0,90,60,0,20,90,1
176,9.5696,0,0,0,72,0,72,8,0,140,0,0
172,9.8239,0,0,0,22,40,40,60,10,80,60,0
182,9.8025,0,0,0,22,50,20,70,20,80,55,0
186,9.6514,0,0,6,48,48,0,48,24,135,0,0
177,9.8619,0,0,0,12,0,105,60,0,50,60,0
192,9.7988,0,0,0,24,48,0,120,0,146,0,0
176,9.6,0,0,24,0,48,96,8,0,164,0,0
198,9.8023,0,0,6,0,72,0,120,0,140,0,0
204,9.5304,0,0,24,72,0,24,24,24,141,0,0
206,9.5723,0,0,24,72,0,6,56,0,140,0,0
210,9.7439,0,6,8,40,44,8,64,0,157,0,0
204,9.8211,0,0,0,48,48,24,48,0,165,0,0
207,9.8895,0,0,0,22,60,20,80,25,100,65,0
207,9906,0,0,0,22,40,40,100,5,100,70,0
197,9964,0,0,0,22,50,50,60,15,110,75,0
212,9883,0,0,10,2,50,50,100,0,100,75,0
228,9.7099,0,0,24,48,48,24,0,24,165,0,0
224,9.7462,0,0,0,72,48,0,32,48,170,0,0
234,9.8045,0,0,24,0,96,6,48,0,165,0,0
204,9.9556,0,0,0,24,60,24,96,0,201,0,0
203,10.0489,0,0,1,9,6,104,81,1,45,90,0
248,9.7608,0,0,24,24,96,0,8,24,170,0,0
258,9.7021,0,0,48,0,96,6,0,24,165,0,0
254,9.7642,0,0,30,0,120,0,8,24,164,0,0
247,9.8458,0,5,0,2,40,100,100,0,80,70,0
222,10.0369,0,0,0,22,50,35,100,15,130,75,0
236,9.6659,8,0,36,48,0,48,48,24,201,0,0
246,9.6652,0,0,72,24,0,30,72,0,196,0,0
242,9.6433,8,6,36,48,0,24,72,24,201,0,0
290,9.6,4,0,0,66,0,0,220,0,165,0,0
254,9.8158,0,0,45,10,49,44,36,28,196,0,0
258,9.8301,0,0,48,24,12,54,48,24,201,0,0
222,10.0609,0,0,0,22,60,60,60,20,140,90,0
252,10.0373,0,0,0,24,60,0,168,0,231,0,0
237,10095,0,0,0,22,50,55,100,10,150,90,0
227,10.1814,0,0,0,12,0,125,90,0,40,115,0
258,10.0368,0,0,6,0,84,0,168,0,225,0,0
254,9.9919,0,0,6,48,72,0,80,24,236,0,0
242,10.1283,0,0,0,12,16,112,100,2,126,90,0
252,9.9641,0,0,0,72,36,72,24,0,249,0,0
258,9.9408,0,0,24,24,84,6,48,72,249,0,0
282,9.9415,0,0,30,0,84,0,120,24,225,0,0
